use_k,HR@10,NDCG@10
10,0.13100436681222707,0.05642447646966262
20,0.13100436681222707,0.05642447646966262
30,0.13100436681222707,0.05642447646966262
40,0.13100436681222707,0.05642447646966262
50,0.13100436681222707,0.05642447646966262
60,0.13100436681222707,0.05642447646966262
70,0.13100436681222707,0.05642447646966262
80,0.13100436681222707,0.05642447646966262
90,0.13100436681222707,0.05642447646966262
100,0.13100436681222707,0.05642447646966262
110,0.13100436681222707,0.05642447646966262
120,0.13100436681222707,0.05642447646966262
130,0.13100436681222707,0.05642447646966262
140,0.13100436681222707,0.05642447646966262
150,0.13100436681222707,0.05642447646966262
160,0.13100436681222707,0.05642447646966262
170,0.13100436681222707,0.05642447646966262
180,0.13100436681222707,0.05642447646966262
190,0.13100436681222707,0.05642447646966262
200,0.13100436681222707,0.05642447646966262
